Name,Current_Skills,Wanted_skills,Age,College,Attendance,Biography
Edna Ferber,"['Fishing', 'Bus spotting', 'Sports memorabilia', 'Ice skating', 'Bowling']","['Speed skating', 'Dolls', 'Shooting', 'Longboarding', 'Inline skating']",61,Cabrillo College,masters,"I'm Edna Ferber, and at 61, I've spent a good chunk of my life honing various skills, especially in areas like fishing and bowling. Growing up, I was always drawn to the thrill of competition and the joy of being outdoors. These days, I find myself immersed in sports memorabilia and bus spotting, which I enjoy sharing with others. I believe there's a wealth of knowledge out there, and I’m eager to learn from those who have mastered the skills I’m keen on, like speed skating and longboarding. My time at Cabrillo College, where I pursued my master's, really opened my eyes to the importance of community and collaboration in learning. It’s fascinating how each interaction can lead to new insights. While I’m happy to teach what I know, I’m always keeping an eye out for opportunities to expand my horizons, whether it's through inline skating or even doll-making. Life’s too short to stop learning, and I’m all about soaking up wisdom from those around me."
Edward Teller,"['Flower collecting and pressing', 'Sport stacking', 'Graffiti', 'publishing', 'Finance']","['Action figure', 'Flying model planes']",37,Cabrillo College,masters,"I'm Edward Teller, a 37-year-old with a curious mind and a passion for learning. I’ve spent years honing various skills, from flower collecting and pressing to the intricacies of finance and even the art of graffiti. These experiences have not only enriched my life but also sparked a desire to share what I know with others. I’m currently pursuing my master’s degree at Cabrillo College, where I relish the exchange of ideas and techniques with my peers. But I'm not just about teaching; there’s so much I want to absorb from others too. I've been itching to dive into the world of action figure crafting and flying model planes—I've seen some incredible work and can't help but feel inspired. I believe that every interaction is an opportunity to learn, and I’m always on the lookout for ways to broaden my horizons. Whether it's through workshops, casual conversations, or collaborative projects, I’m eager to connect with individuals who can offer new perspectives and skills."
Micky Dolenz,"['Airsoft', 'Lacrosse', 'Table tennis playing', 'Table tennis playing']","['Sculling\xa0or\xa0rowing', 'Whale watching']",90,Santa Cruz County Regional Occupation Program,undergraduate,"I'm Micky Dolenz, and at 90, I've gathered a wealth of experiences that I’m always eager to share. I’ve dabbled in various activities like airsoft, lacrosse, and table tennis—each teaching me something new about teamwork and strategy. My time at the Santa Cruz County Regional Occupation Program during my undergraduate days was pivotal; it ignited a passion for learning that hasn’t waned. I enjoy connecting with others who share an interest in these skills, as there's always something to glean from different perspectives. While I’m comfortable teaching what I know, I’m equally enthusiastic about learning from others. There’s a part of me that yearns to delve into sculling and rowing, as well as the fascinating world of whale watching. I think there’s something special about being out on the water, and I’m always on the lookout for opportunities to expand my horizons. Learning is a lifelong journey, and I look forward to the next chapter."
Igor Stravinsky,"['Canoeing', 'Road biking']","['Car tuning', 'Dairy Farming', 'Sun bathing']",44,Did not attend college,,"I’m Igor Stravinsky, a 44-year-old who thrives on the water and the open road. Canoeing has been a passion of mine for years, and I find a certain peace in gliding across lakes and rivers. Road biking is another outlet for me; there's something exhilarating about the rush of wind and the rhythm of pedaling on open trails. I didn't take the traditional route of attending college, but I believe that learning can come from anywhere. I’m always on the lookout for ways to improve and expand my skill set, which is why I’m eager to learn about car tuning, dairy farming, and even sunbathing techniques. I think there’s so much to gain from sharing knowledge and experiences with others, and I’m all for exchanging skills. It’s a journey I’m committed to, and I look forward to what comes next."
Natalie Portman,['Geocaching'],"['Fossil hunting', 'Fingerprint collecting', 'Speedcubing']",47,UCSC - University of California at Santa Cruz,undergraduate,"I’m Natalie Portman, and I’m 47 years old. I graduated from the University of California, Santa Cruz, where I developed a strong appreciation for learning and exploring new interests. These days, I’ve found a unique passion in geocaching, and I enjoy sharing that with anyone interested in the thrill of the hunt. I believe there’s always something to learn from others, which keeps me motivated to improve my skills. Lately, I’ve been intrigued by fossil hunting and fingerprint collecting; both seem like fascinating ways to connect with history and science. Speedcubing is another challenge I want to tackle, as I admire the dexterity and mental agility it requires. I’m always on the lookout for opportunities to expand my horizons and pick up new skills, whether it’s through workshops, meetups, or simply chatting with someone who shares my interests. The journey of learning never really stops for me, and I’m eager to see where it takes me next."
Otto Preminger,"['Stone skipping', 'Flying', 'Cartophily\xa0(card collecting)', 'Pole dancing', 'Action figure']","['Radio-controlled model playing', 'Mycology', 'Climbing', 'Kitesurfing']",55,Did not attend college,,"I'm Otto Preminger, and at 55 years old, I've embraced a variety of interests that keep life interesting. I’ve spent a good chunk of my time perfecting the art of stone skipping—there's something oddly satisfying about finding the perfect flat rock. I also enjoy flying; it’s a thrill that never gets old. Cartophily, or card collecting, has been a long-standing hobby of mine, and I’m always happy to share tips with fellow enthusiasts. Then there’s pole dancing, which has surprisingly become a great way for me to stay fit and have fun at the same time. While I’ve picked up a few skills along the way, I’m always on the lookout for opportunities to learn from others. There are a few things I want to dive into, like radio-controlled model playing and kitesurfing. I often find myself curious about mycology as well—there’s a whole world of fungi out there. I didn’t attend college, but I believe that learning from experiences and people can be just as valuable."
Michael Bloomberg,"['Flying', 'Inline skating']","['Insect collecting', 'BASE jumping', 'Sculling\xa0or\xa0rowing', 'Cornhole', 'Lacrosse']",86,Santa Cruz County Office of Education,phd,"I’m Michael Bloomberg, 86 years young and always on the lookout for new ways to challenge myself. I’ve spent years honing my skills in flying and inline skating, and I’m more than willing to share what I know with anyone interested. My education at the Santa Cruz County Office of Education helped lay a foundation for my lifelong learning journey, but I’m not done yet. There are still so many things I want to dive into, like insect collecting and BASE jumping—those just sound exhilarating. I’ve also been curious about the precise art of sculling and the strategy behind cornhole and lacrosse. I believe there’s something to be gained from everyone’s experiences, and I’m always ready to absorb knowledge from others. It’s fascinating how much there is to learn, and I find that the more I connect with people, the richer my understanding becomes. Each interaction is a new opportunity to grow, and I’m eager to see where this path leads next."
Phillis Wheatley,['Blacksmithing'],['Kart racing'],88,Santa Cruz County Office of Education,masters,"I’m Phillis Wheatley, and at 88, I find myself constantly seeking new challenges and opportunities to learn. My journey has taken me through many experiences, from honing my skills as a blacksmith to navigating the intricacies of life in my community. I’ve always believed in the importance of sharing knowledge, which is why I’m more than willing to teach others the art of blacksmithing. It’s a craft that requires patience and precision, and I enjoy passing on what I’ve learned over the years. On the flip side, I have a growing curiosity for kart racing. There’s something exhilarating about the speed and strategy involved, and I’m eager to learn from someone who can guide me through the basics. My academic background includes a master’s degree from the Santa Cruz County Office of Education, which has provided me with a solid foundation for both my teaching and learning pursuits. I’ve come to realize that there’s always something new to discover, and I’m looking forward to connecting with others who share my passion for growth and skill development."
Ernest Lawrence,"['Bus spotting', 'Transit map collecting', 'Crystals', 'Radio-controlled model playing', 'Learning']",['Architecture'],57,Santa Cruz County Office of Education,masters,"I'm Ernest Lawrence, a 57-year-old with a passion for learning and a knack for bus spotting and collecting transit maps. Over the years, I've dabbled in various hobbies, including playing with radio-controlled models and exploring the fascinating world of crystals. I find there's always something new to discover, whether it's a unique bus line or a rare crystal specimen. Having attended the Santa Cruz County Office of Education for my master's, I've always believed in the importance of education and sharing knowledge. I enjoy teaching others about my interests, but I’m also eager to expand my horizons, particularly in architecture. There's something about the intricacies of design that captivates me, and I would love to learn from someone with expertise in that field. I think there's so much to gain from collaboration and learning from others, and I always look forward to connecting with people who share similar interests or who can offer new perspectives."
Spiro Agnew,"['Chess', 'Lomography', 'Video game collecting', 'Shooting sports']","['Motorcycling', 'Aerospace', 'Animal fancy', 'Sculling\xa0or\xa0rowing']",66,Cabrillo College,,"I’m Spiro Agnew, 66 years old, and I’ve spent a good chunk of my life diving into various hobbies and interests. Chess has always been a passion of mine, where I love strategizing and outsmarting opponents, whether they are friends or fellow enthusiasts. I also have a knack for lomography, capturing the world around me with a quirky lens. Video game collecting is another favorite pastime—each game is a little piece of history, and I enjoy uncovering rare gems. I’ve dabbled in shooting sports as well, finding it both challenging and rewarding. While I have my strengths, I’m always on the lookout to learn something new. Motorcycling intrigues me; the freedom of the open road is something I want to experience firsthand. Aerospace fascinates me too, as I admire the complexities of flight. I’ve also been curious about animal fancy, particularly the unique breeds that exist, and I think sculling or rowing would be an exhilarating way to connect with nature. My time at Cabrillo College was brief, but it ignited a lifelong desire to learn from others and continually improve my skills."
Waylon Jennings,['Motor sports'],"['Backpacking', 'Airsoft', 'Cribbage', 'Pool', 'Crystals']",38,Santa Cruz County Regional Occupation Program,masters,"I’m Waylon Jennings, a 38-year-old with a passion for motor sports. Growing up, I was always fascinated by speed and precision, which led me to dive deep into the world of racing. I've honed my skills over the years and now enjoy sharing what I know with others who are eager to learn. I believe that learning doesn’t stop; there’s always something new to grasp, especially when it comes to skills I wish to develop myself. I’ve got my eye on backpacking, airsoft, cribbage, pool, and even the intriguing world of crystals. I attended the Santa Cruz County Regional Occupation Program, where I completed my master’s, and it opened my eyes to the value of collaboration and mentorship. I’m always looking to connect with those who can teach me something new, as I find that perspective is invaluable. Whether it's a weekend trip into the wilderness or a game of cribbage over coffee, I’m all about expanding my horizons and learning from others."
Jon Appleton,['Renaissance fair'],"['Table tennis', 'Bowling', 'Softball', 'Book collecting']",51,"CSUMB - California State University, Monterey Bay",phd,"I'm Jon Appleton, a 51-year-old with a passion for learning and a deep appreciation for the Renaissance fair scene, which I've enjoyed sharing with others over the years. My journey has taken me through various experiences, and I’ve found that the best way to grow is by connecting with those who have skills I admire. While I’m comfortable leading discussions about historical costumes and crafts, I’m always on the lookout for new challenges. I’ve got a curiosity for table tennis, bowling, and softball—sports that have eluded me so far, but I’m eager to pick them up with the right guidance. I also have a growing interest in book collecting, but I’m still figuring out where to start. My academic path led me to CSUMB, where I pursued a PhD, and the insights I gained there have shaped my approach to learning. I believe that sharing knowledge and experiences can create a dynamic exchange, and I’m excited about what I can learn from others as I continue to navigate my personal and professional development."
John Philip Sousa,"['Aerospace', 'Radio-controlled model playing']","['Motor sports', 'Biology', 'Horsemanship', 'Photography', 'Antiquities']",48,"CSUMB - California State University, Monterey Bay",,"I’m John Philip Sousa, and at 48, I’ve carved out a niche for myself in aerospace and radio-controlled model playing. My journey has been shaped not just by what I know but by the incredible people I’ve met along the way. I believe there's always room to grow, and I’m constantly looking to learn from others—whether it's getting a grip on the intricacies of motor sports, diving into the wonders of biology, or mastering the art of photography. I’ve got a soft spot for antiquities too; there’s something captivating about the stories behind old objects. Having attended CSUMB, I’ve developed a strong foundation in my field, but I’m eager to expand my horizons. Teaching what I know gives me a sense of fulfillment, and I’m always on the lookout for someone to share their expertise with me in areas I’m curious about. Life’s too short to stop learning, and I think there's a lot to be gained from exchanging knowledge and experiences."
Casimir Funk,"['Rock climbing', 'Sports science']","['Dairy Farming', 'Marbles']",77,Cabrillo College,masters,"I'm Casimir Funk, and at 77, I’ve spent my life diving into various pursuits, from rock climbing to sports science. I’ve always been fascinated by the mechanics of movement and how our bodies respond to physical challenges, which led me to explore the world of sports science during my time at Cabrillo College. I enjoy sharing what I’ve learned, particularly when it comes to rock climbing—there's something thrilling about helping others conquer their fears and reach new heights, literally. However, I’m also on the lookout for new knowledge. Dairy farming intrigues me; there’s so much to learn about the process and the dedication it requires. Plus, I’ve developed a curiosity about marbles, a seemingly simple game that’s packed with strategy and history. I believe there’s always something to gain from others, and I’m eager to connect with those who can teach me these skills. Life is a continuous journey of learning, and I’m ready for the next adventure."
Jennifer Aniston,"['Radio-controlled model playing', 'Field hockey']","['Herping', 'Table tennis playing', 'Ultimate frisbee']",66,Santa Cruz County Office of Education,,"I’m Jennifer Aniston, and at 66, I find myself constantly drawn to learning new things. My journey has taken me through various interests, including radio-controlled model playing and field hockey, where I’ve honed my skills over the years and enjoy sharing what I know with others. I’ve always believed that there’s so much to gain from connecting with people who have different experiences and perspectives. Lately, I’ve been eager to dive into herping and table tennis, as well as ultimate frisbee, but I haven’t yet found the right mentors to guide me. While my educational background at the Santa Cruz County Office of Education is a part of my story, it’s the ongoing experiences and conversations that truly shape who I am. I appreciate the journey of learning and the opportunity to grow alongside others, and I’m always on the lookout for new opportunities to expand my horizons."
Harry Turtledove,"['Sea glass collecting', 'Lacrosse', 'Chess']","['Car tuning', 'Business']",79,"CSUMB - California State University, Monterey Bay",,"I'm Harry Turtledove, and at 79, I've gathered a lifetime of experiences that shape my perspective. I spent many years honing my skills in sea glass collecting, lacrosse, and chess, and I find joy in sharing these passions with others. There's something incredibly fulfilling about teaching someone to spot that perfect piece of glass or strategizing their way through a chess match. However, I understand that learning never truly stops. I’ve always wanted to dive into car tuning—there's a certain magic in understanding how things work beneath the hood. Business is another area I wish to explore more; the intricacies of it fascinate me, and I believe I could learn a lot from someone with experience there. My time at CSUMB was transformative, though I didn't quite finish; it opened my eyes to the value of learning from diverse perspectives. I’m always on the lookout for opportunities to exchange knowledge and grow, whether it's through casual conversations or structured lessons."
Anton Cermak,"['Ephemera collecting', 'Religious studies']","['Curling', 'Surfing', 'Entrepreneurship', 'Cribbage']",89,Santa Cruz County Regional Occupation Program,undergraduate,"I’m Anton Cermak, and I’ve spent the better part of my 89 years diving into the fascinating world of ephemera collecting and delving into religious studies. My time at the Santa Cruz County Regional Occupation Program gave me a solid foundation, sparking a lifelong passion for learning and exploration. While I’ve accumulated a wealth of knowledge, I’m always on the lookout for new skills to pick up. Curling and surfing seem like they’d be thrilling challenges, and I have a growing curiosity about entrepreneurship. Cribbage has also piqued my interest—there's something about card games that fascinates me. I’m eager to connect with others who can share their expertise, as I believe everyone has something valuable to teach. Whether it’s a trick for a better collection or the nuances of a game, I’m all in for the exchange of ideas. Learning from others keeps the mind sharp, and I’m here for it."
Sarah Hughes,"['Railway journeys', 'Taekwondo', 'Motorcycling']","['Fitness', 'Sled dog racing', 'Volleyball', 'Botany']",87,Santa Cruz County Office of Education,,"I’m Sarah Hughes, and at 87 years young, I've gathered a few experiences and skills along the way. I've always had a passion for travel, particularly by train—there’s something about watching the scenery change that gives me a sense of adventure. I’ve also dabbled in Taekwondo, which has kept me active and sharp, and yes, I even ride motorcycles. There’s a certain freedom that comes with the wind in your hair. While I’m happy to share these skills with anyone interested, I’m also eager to learn from others. There’s a world of knowledge out there that I still want to tap into, especially when it comes to fitness; I could use some guidance there. Sled dog racing has always intrigued me, and I’d love to give it a go one day. Volleyball looks like a fun way to stay social, and botany has piqued my interest as well—I’d like to know more about the plants that surround us. College was a unique experience at the Santa Cruz County Office of Education, and I value the lessons I've learned, both in and out of the classroom."
James A. Garfield,['Bowling'],"['Video gaming', 'Insect collecting', 'Powerlifting']",27,"CSUMB - California State University, Monterey Bay",undergraduate,"I’m James A. Garfield, and at 27, I’m navigating my way through life with a blend of curiosity and determination. Currently, I’m an undergraduate at California State University, Monterey Bay, where I’m soaking up knowledge and experience like a sponge. Bowling is one of my go-to pastimes, and I’m always happy to share tips and techniques with anyone interested in improving their game. However, I’m not one to rest on my laurels; I’m eager to learn from others, particularly in areas I’m passionate about. Video gaming has always intrigued me, but I’d love to find someone patient enough to guide me through the intricacies of different genres. Insect collecting is another interest of mine that I hope to explore more deeply, but I could use some mentorship on that front as well. Powerlifting is also on my radar, and I’m keen to learn the right techniques from someone experienced. By surrounding myself with skilled individuals, I believe I can grow and develop in ways I never imagined."
Alexander Hamilton,"['Story writing', 'Badminton', 'Road biking']","['Powerboat racing', 'Mini Golf', 'Auto detailing']",93,Cabrillo College,undergraduate,"I’m Alexander Hamilton, a 93-year-old who’s spent a lifetime pursuing knowledge and honing my skills. I’ve always found joy in storytelling, weaving narratives that resonate with others, and I enjoy sharing my passion for writing with anyone eager to learn. When I’m not writing, I can often be found on the badminton court or cruising along scenic routes on my road bike. While I’ve enjoyed teaching these skills, I’m also very much a student at heart. There’s a world of expertise I want to dive into, particularly in areas like powerboat racing and auto detailing. Mini golf seems like a fun challenge too, and I’d love to learn from someone who can show me the ropes. My journey began at Cabrillo College, where I focused on my undergraduate studies, and I still carry that spirit of curiosity with me today. I believe that learning never stops, and I’m always on the lookout for opportunities to expand my horizons through the insights of others."
William Jennings Bryan,"['Hooping', 'Cribbage', 'Meditation']","['Sports memorabilia', 'Stamp collecting']",85,"CSUMB - California State University, Monterey Bay",phd,"I’m William Jennings Bryan, an 85-year-old lifelong learner with a passion for sharing the skills I’ve picked up over the years. Having spent time at CSUMB, where I pursued my PhD, I’ve come to appreciate the value of knowledge exchange. I enjoy hooping, playing cribbage, and practicing meditation, and I’m always eager to pass those skills on to others. However, my curiosity doesn't stop there; I have a keen interest in sports memorabilia and stamp collecting, two areas where I’m hoping to learn from someone with more experience. The thrill of discovering new perspectives and honing my abilities keeps me motivated, and I believe that everyone has something to teach. Whether it’s the rhythm of a hoop, the strategy of a card game, or the tranquility of mindfulness, I’m excited to engage with others who share these interests or who can introduce me to new ones. Each interaction is a chance to grow, and I look forward to what I might learn next."
Bix Beiderbecke,"['Photography', 'Stamp collecting', 'Lapel pins', 'Business', 'Aircraft spotting']","['Airsoft', 'Chess', 'Archery', 'Australian rules football']",73,Cabrillo College,,"I'm Bix Beiderbecke, a 73-year-old with a passion for exploring new skills and sharing what I've learned along the way. My interests range from photography to the intriguing world of stamp collecting, and I find joy in discussing the nuances of lapel pin collecting and business strategies. There's something fascinating about the stories behind each stamp or pin, and I love helping others appreciate these hobbies. However, I'm always on the lookout for opportunities to learn from those more experienced than me—like improving my game in chess or mastering the intricacies of archery. I’ve often thought about diving into the excitement of airsoft and the strategy of Australian rules football, but I haven't had the chance yet. I attended Cabrillo College, though I can't recall the specifics of my time there. My journey has always been about connecting with others and absorbing knowledge, and I appreciate every chance to exchange insights with fellow enthusiasts."
Clark Gable,"['Letterboxing', 'Biology']","['Element collecting', 'Flying']",61,Cabrillo College,phd,"My name is Clark Gable, and I’m 61 years old. I’ve spent a good chunk of my life exploring different interests, and I’m always on the lookout for ways to improve. With a PhD from Cabrillo College, I’ve developed a solid foundation in various subjects, particularly biology, which I enjoy teaching to anyone eager to learn. I’ve also dabbled in letterboxing, finding it a unique blend of adventure and creativity. Despite my experience, I’m not one to shy away from learning; in fact, I wish someone would take the time to teach me about element collecting and flying. There’s something exhilarating about the idea of soaring through the skies or uncovering the stories behind each element. I find that learning from others not only sharpens my skills but also opens up new perspectives. Whether it’s in a casual conversation or a structured lesson, I value those moments of exchange. Life’s too short to stop growing, and I’m always looking for the next opportunity to expand my horizons."
George S. Patton,"['Animal fancy', 'Story writing', 'Speedcubing']","['Fencing', 'Horsemanship', 'Australian rules football', 'Skiing', 'Roundnet']",28,UCSC - University of California at Santa Cruz,undergraduate,"I’m George S. Patton, 28, currently navigating through my undergrad years at UCSC. My journey has been fueled by a genuine desire to learn from those around me. I’ve developed a knack for animal fancy, story writing, and speedcubing, and I’m always up for sharing what I know with anyone who’s interested. However, I’m not just about giving; I’m eager to soak up knowledge on a range of skills that intrigue me. Fencing, horsemanship, Australian rules football, skiing, and roundnet are all on my radar—I figure there’s no better way to grow than by learning from those who’ve mastered these arts. I appreciate the depth that comes from collaboration, and I believe that engaging with different perspectives can really enhance my own abilities. Life’s a constant learning curve, and I’m here for it, hoping to connect with others who share that same passion."
Christopher Lambert,"['Speed skating', 'Canyoning', 'Longboarding', 'Model United Nations']","['BMX', 'Gold prospecting']",78,Did not attend college,,"I’m Christopher Lambert, a 78-year-old with a passion for movement and adventure. Over the years, I've found joy in speed skating, canyoning, longboarding, and even participating in Model United Nations. Each of these pursuits has taught me something unique, and I enjoy sharing that knowledge with others. I never attended college, but life has been my greatest educator. I believe that learning should be a two-way street, which is why I'm always on the lookout for folks who can introduce me to new skills, especially BMX and gold prospecting, both of which intrigue me. There’s something exhilarating about the thrill of the chase, whether it’s racing down a hill or digging for gold. I’ve learned that every conversation is an opportunity to grow, and I’m eager to swap stories and techniques with anyone willing to dive into these experiences together. In my world, there’s always room for improvement, and I thrive on the idea that we can all learn from one another."
Cameron Diaz,"['Video game collecting', 'Renaissance fair', 'Mycology']","['Butterfly watching', 'Railway journeys', 'Vacation', 'Radio-controlled model playing']",94,Cabrillo College,masters,"Hey there, I’m Cameron Diaz, a 94-year-old with a passion for learning and sharing knowledge. I’ve spent quite a few years diving deep into video game collecting, exploring the vast worlds of nostalgia and strategy that games offer. My love for Renaissance fairs has also allowed me to embrace a bit of history while dressing up in some pretty fantastic costumes. On the side, I’ve developed an interest in mycology, the study of fungi—it's fascinating how much there is to discover in nature. I graduated with my master’s from Cabrillo College and have always believed in the power of learning through others. While I enjoy teaching what I know, I’m also eager to pick up new skills, like butterfly watching, which seems like a peaceful way to connect with nature. I’ve always been curious about railway journeys and how to navigate those experiences, plus I’d love to get into radio-controlled model playing. Every conversation and experience is a chance to grow, and I’m looking forward to what lies ahead."
Dustin Hoffman,['Slacklining'],"['Swimming', 'Graffiti', 'Hunting']",100,Santa Cruz County Office of Education,phd,"I’m Dustin Hoffman, and at 100 years old, I’ve gathered a wealth of experience that continues to shape my perspective. I spent many years honing my skills, particularly in slacklining, which has become a passion of mine. There’s something about the balance between focus and relaxation that captivates me. I believe that sharing what I know is just as important as learning from others, and I’m always on the lookout for opportunities to connect with people who can teach me something new. Swimming, for instance, has eluded me for far too long, and I see it as a skill that would enrich my life. I also have a fascination with graffiti; the creativity and expression behind it intrigue me. And then there’s hunting—something I’ve always wanted to explore more deeply. I pursued my education at the Santa Cruz County Office of Education, where I delved into various subjects, culminating in a PhD. As I navigate this century of life, I find that the pursuit of knowledge never really ends, and I’m eager to learn from those around me."
Walter Mondale,"['Beach volleyball', 'Travel', 'Aerospace', 'Blacksmithing']","['Table tennis', 'Rugby league football', 'Foraging']",37,UCSC - University of California at Santa Cruz,phd,"I'm Walter Mondale, a 37-year-old with a diverse set of interests and a strong desire to learn from those around me. My journey started at UCSC, where I pursued a PhD, but education didn't stop there. I've picked up some unique skills along the way, including beach volleyball, blacksmithing, and insights into aerospace. I find joy in sharing what I know, whether it's helping someone improve their serve or explaining the intricacies of metalworking. That said, I'm always looking to expand my horizons—I've had my eye on table tennis and rugby league football lately, and I could use a few tips on foraging, too. I think there's so much to gain from others, and I genuinely enjoy the process of learning and growing. Each interaction offers a new perspective, and I'm keen to embrace that."
Gillian Anderson,"['Medical science', 'Shogi']","['Go', 'Table tennis playing', 'Beachcombing', 'Chess', 'Graffiti']",37,UCSC - University of California at Santa Cruz,undergraduate,"I'm Gillian Anderson, 37, and I’ve always had a passion for learning and sharing knowledge. After earning my degree from UCSC, I dove into the medical field, where I found great satisfaction in understanding complex concepts and helping others. Alongside that, I picked up shogi and enjoy the strategic challenge it brings. I believe that learning isn’t a solitary journey; I’m eager to connect with others who can teach me new skills. I’ve got my sights set on mastering Go and table tennis, as well as exploring the art of beachcombing. Chess intrigues me as well, but I’d love to learn more about graffiti as a form of expression. I find inspiration in the perspectives of others, and I’m always looking for ways to evolve my skills while helping those around me. It’s this blend of teaching and learning that keeps me motivated to grow."
Victor Davis Hanson,"['Rock climbing', 'Kabaddi', 'Laser tag', 'Business', 'Astronomy']","['Gold prospecting', 'Dairy Farming', 'Geocaching', 'Flower collecting and pressing']",46,Santa Cruz County Office of Education,phd,"I’m Victor Davis Hanson, a 46-year-old with a diverse set of interests and skills. I’ve spent a lot of time honing my abilities in rock climbing, kabaddi, and even laser tag, not to mention my experience in business and a growing fascination with astronomy. I attended the Santa Cruz County Office of Education, where I pursued my PhD, which really opened my eyes to the importance of continuous learning. While I enjoy sharing what I know, I’m also on the lookout for opportunities to expand my own skill set. I’ve got a curiosity for gold prospecting, dairy farming, geocaching, and even flower collecting and pressing—skills I hope to pick up from someone who’s experienced. I think there's something invaluable about learning from others, and I’m always eager to engage with people who can introduce me to new ideas and practices. It’s all part of the journey for me, and I’m keen to keep moving forward."
Elizabeth Taylor,"['Movie memorabilia collecting', 'Climbing', 'Paragliding', 'LARPing', 'Cribbage']","['Beachcombing', 'Trapshooting']",27,Cabrillo College,phd,"I'm Elizabeth Taylor, a 27-year-old with a passion for learning and a keen interest in sharing what I know. My journey has taken me through a variety of hobbies, from collecting movie memorabilia to the thrill of climbing and paragliding. I’ve even dabbled in LARPing and enjoy a good game of cribbage with friends. I graduated from Cabrillo College, where I soaked up knowledge like a sponge, and now I’m pursuing a PhD. I believe that every interaction is an opportunity to learn something new, which is why I’m always on the lookout for others who can teach me skills I haven’t mastered yet—like beachcombing and trapshooting. I find that learning from others not only hones my abilities but also broadens my perspective. It’s fascinating to see the world through different lenses and to embrace the diverse experiences life offers. I’m excited about the journey ahead and the skills I’ll pick up along the way."
Gwyneth Paltrow,"['Flower collecting and pressing', 'Rock climbing']","['Literature', 'Chess', 'Dairy Farming', 'Trainspotting']",74,Santa Cruz County Regional Occupation Program,phd,"I’m Gwyneth Paltrow, and at 74, I’ve spent a lifetime exploring various passions and interests. My journey has taken me through many creative paths, from flower collecting and pressing to the thrill of rock climbing. I’ve always found joy in sharing what I know, whether it’s helping someone appreciate the beauty of pressed flowers or teaching the basics of climbing techniques. Despite my experiences, I’m still eager to learn new things. I’ve developed a curiosity for literature and have a keen interest in chess, dairy farming, and even trainspotting. I believe there’s always something new to uncover, and I often find inspiration in the people around me. I attended the Santa Cruz County Regional Occupation Program, which nurtured my desire to learn and grow. While I’ve had my share of accomplishments, I see every interaction as an opportunity to improve and expand my horizons. The world is full of knowledge, and I’m here to soak it all up."
Hubert Humphrey,"['Chess', 'Amusement park visiting', 'Flying', 'Trainspotting']","['Groundhopping', 'Radio-controlled model playing', 'Book collecting', 'Kite flying']",88,Santa Cruz County Regional Occupation Program,masters,"I'm Hubert Humphrey, and at 88 years old, I've gathered a fair bit of experience along the way. My journey began at the Santa Cruz County Regional Occupation Program, where I pursued my master's degree. Over the years, I've developed a passion for a few quirky hobbies, like chess and trainspotting, which have not only kept my mind sharp but also connected me with some interesting people. I find joy in sharing these skills with others—there's something fulfilling about teaching chess strategies or sharing tips on navigating amusement parks. However, I'm not just a teacher; I'm also a student at heart. I have a keen interest in learning new pursuits, particularly groundhopping and kite flying. It fascinates me how much there is to discover, especially when it comes to radio-controlled models and book collecting. I appreciate the insights others can offer, and I'm always on the lookout for opportunities to broaden my horizons. Life is too rich for stagnation, and I believe that every exchange—whether I'm imparting knowledge or soaking up new lessons—adds another layer to my understanding of the world."
Chaz Bono,"['Fossil hunting', 'Geocaching', 'Camping', 'Speed skating', 'Laser tag']",['Teaching'],53,UCSC - University of California at Santa Cruz,,"I'm Chaz Bono, a 53-year-old with a passion for the outdoors and a knack for exploring. My journey in life has been shaped by a love for fossil hunting and geocaching, where I’ve learned to appreciate the thrill of discovery. Camping has been a staple in my life, whether it’s a weekend getaway or a longer adventure, and I’ve found joy in speed skating and the adrenaline of laser tag as well. I’ve always believed in the power of learning from others, and I’m eager to share my experiences with anyone interested in these activities. Despite my skills, I feel there’s always room to grow, especially in teaching. It’s an area I’d love to delve into more deeply, as I believe sharing knowledge is just as valuable as acquiring it. I attended UCSC, where I gathered a wealth of experiences, but there’s still so much I want to learn. Whether it’s honing my skills or understanding how to better teach them, I’m open to new opportunities that come my way."
Yogi Berra,"['Gymnastics', 'Fossil hunting', 'Whale watching']","['Art collecting', 'Ice skating', 'Blacksmithing', 'Herping', 'Rock climbing']",72,"CSUMB - California State University, Monterey Bay",masters,"I’m Yogi Berra, and at 72, I find myself still eager to learn and share what I know. My journey has taken me from the thrill of gymnastics to the serene moments of whale watching and the excitement of fossil hunting. I graduated with a master's degree from California State University, Monterey Bay, which ignited my passion for exploring new skills. There’s something rewarding about teaching others, whether it’s showing kids how to do a cartwheel or sharing the thrill of discovering a rare fossil. However, I’m not one to rest on my laurels. I’ve got a long list of skills I’d love to pick up from others, like the intricacies of art collecting or the precision of blacksmithing. Ice skating and rock climbing also intrigue me, and I wouldn’t mind diving into the world of herping, either. I believe that learning is a lifelong journey, and the more I connect with others, the more I grow. There’s a certain thrill in the unknown, and I’m ready to embrace it."
